Codigo,Descripcion,Precio,Rubro
SH16,BOMBITAS PARA SAHUMAR,199348,
2001,BORNERA PVC DIVISIBLE 10A,415538,
2002,BORNERA PVC DIVISIBLE 15A,559286,
2003,BORNERA PVC DIVISIBLE 20A,559286,
2004,BORNERA PVC DIVISIBLE 25A,653521,
2005,BORNERA PVC DIVISIBLE 30A,653521,
2000,BORNERA PVC DIVISIBLE 5A,387853,
1999,BORNERA UNIP.7 CONEXIONES C/ZOCALO,1113200,
8021,BOTON PULSADOR ABB NC O NA,606740,
2081APLICAR,BOX APLICAR 1 LUZ BCO/NG,2034706,
2082APLICAR,BOX APLICAR 2 LUCES BCO/NG,3535547,
2083APLICAR,BOX APLICAR 3 LUCES BCO/NG,5236747,
2084APLICAR,BOX APLICAR 4 LUCES BCO/NG,6704301,
BUDA1,BUDA/ELEFANTE DE SAL CHICO,1950036,
BUDA2,BUDA/ELEFANTE DE SAL GRANDE,2290046,
UBP,BULONERIA P/BANDEJAS,362181,
2070,BUSCAPOLO CHICO,210056,
2071,BUSCAPOLO GRANDE,310002,
2072,BUSCAPOLO SICA,190091,
SH19,CABEZA DE BUDA,614968,
8004,CABEZAL AR111 BCO/NEGRO,1078715,
8005,CABEZAL GU10 NG/BCO,783112,
CABR,CABEZAL P/RIEL BCO/NEGRO,1194779,
1009,CABLE 1X1 MM2 CABLEMEX,28436,
400,CABLE 1X1 MM2 CAELBI/BMOL,36748,
3153,CABLE 1X1 MM2 PIRELLI PRYSMIAN,60222,
1010,"CABLE 1X1,5 MM2 CABLEMEX",37081,
401,"CABLE 1X1,5 MM2 CAELBI/BMOL",57573,
3154,"CABLE 1X1,5 MM2 PIRELLI PRYSMIAN",82455,
3158,CABLE 1X10 MM2 PIRELLI PRYSMIAN,544409,
405,CABLE 1X10MM2 CAELBI/BMOL,340689,
3159,CABLE 1X16 MM2 PIRELLI PRYSMIAN,890875,
1011,"CABLE 1X2,5 MM2 CABLEMEX",52043,
402,"CABLE 1X2,5 MM2 CAELBI/BMOL",90652,
3155,"CABLE 1X2,5 MM2 PIRELLI PRYSMIAN",130607,
1012,CABLE 1X4 MM2 CABLEMEX,86304,
403,CABLE 1X4 MM2 CAELBI/BMOL,136888,
3156,CABLE 1X4 MM2 PIRELLI PRYSMIAN,203026,
1013,CABLE 1X6 MM2 CABLEMEX,137262,
404,CABLE 1X6 MM2 CAELBI/BMOL,202576,
3157,CABLE 1X6 MM2 PIRELLI PRYSMIAN,307588,
RCA,"CABLE ARMADO 2 RCA A STEREO 3,5MM 1,8MTS",130124,
HDMI,CABLE ARMADO HDMI,241945,
3340,CABLE ARMADO PLANCHA,660043,
3343,CABLE ARMADO VELADOR,350053,
3025,"CABLE BICOLOR 2X0,50 MM2",42665,
3026,"CABLE BICOLOR 2X0,75 MM2",57977,
3027,CABLE BICOLOR 2X1 MM2,109008,
3004,CABLE CANAL 100X50 ZOLODA,3955732,
3010,CABLE CANAL 14X7 C/AD,139087,
3013,CABLE CANAL 18X21 C/AD,226702,
3011,CABLE CANAL 20X10 C/AD,175087,
3003,CABLE CANAL 27X30 C/AD,504752,
3006,CABLE CANAL 30X10,249400,
3008,CABLE CANAL 40X30 C/AD ZOLODA,1385262,
