Codigo,Descripcion,Precio,Rubro
16057,CONTACTOR 40A STECK,8476293,
3387,CONTACTOR 9A STECK,2634288,
1B,"CORRUGADO BLANCO 1""",54571,
3/4B,"CORRUGADO BLANCO 3/4""",36058,
7/8B,"CORRUGADO BLANCO 7/8""",47069,
1G,"CORRUGADO GRIS 1""",88572,
3/4G,"CORRUGADO GRIS 3/4""",59290,
7/8G,"CORRUGADO GRIS 7/8""",72721,
11/2N,"CORRUGADO NARANJA 1 1/2""",76485,
11/4N,"CORRUGADO NARANJA 1 1/4""",63656,
1N,"CORRUGADO NARANJA 1""",44770,
2N,"CORRUGADO NARANJA 2""",120878,
3/4N,"CORRUGADO NARANJA 3/4""",28314,
7/8N,"CORRUGADO NARANJA 7/8""",35816,
7000,CORTINA LED 300 LUCES 3M X 3M,2190100,
3399,CRUCETA MONOFASICA P/CAÑO O PARED,397364,
3402,CRUCETA TRIFASICA P/CAÑO O PARED,631983,
7321NEGRO,CUBETO 1 LUZ NEGRO MICROTEXTURADO,2803541,
7321PLATIL,CUBETO 1 LUZ PLATIL,3098684,
7322NEGRO,CUBETO 2 LUCES NEGRO MICROTEXTURADO,6162459,
7322PLATIL,CUBETO 2 LUCES PLATIL,7086606,
7323NEGRO,CUBETO 3 LUCES NEGRO MICROTEXTURADO,8615637,
7323PLATIL,CUBETO 3 LUCES PLATIL,9905381,
7324NEGRO,CUBETO 4 LUCES NEGRO MICROTEXTURADO,10780654,
7324PLATIL,CUBETO 4 LUCES PLATIL,11953610,
MSAL,CUENCO/MACETA C/PIEDRAS DE SAL,1135423,
CUR20,CURVA 20MM,40777,
CUR22,CURVA 22MM,49368,
CUR25,CURVA 25MM,79981,
CUR32,CURVA 32MM,151855,
2311,"CURVA BAQ. 1 1/4""",332387,
CUR100X50,CURVA PLANA P/CABLE CANAL 100X50 ZOLODA,933152,
BUDV,DETECTOR DE VOLTAGE SIN CONTACTO,790009,
SH6,DIFUSOR AROMATIZADOR,1428603,
AP175,DIFUSOR BARI,1741908,
AP176,DIFUSOR BARI RECTANGULAR,1741908,
AP186,DIFUSOR FOGGIA,2437640,
AP181,DIFUSOR LIVORNO,1741908,
AP160,DIFUSOR MURANO C/GNCHO DORADO,2909442,
AP184,DIFUSOR PALERMO,1729938,
AP183,DIFUSOR TORINO,1729938,
AP180,DIFUSOR TRENTO,2437640,
SH2,DIFUSOR VARILLAS SAPHIRUS,440824,
10014,DISYUNTOR INTERELEC 4X63A,7980779,
10017,DISYUNTOR JELUZ 2X40A,4133118,
10015,DISYUNTOR JELUZ 4X40A,7519974,
10016,DISYUNTOR JELUZ 4X63A,8515879,
2020,DISYUNTOR SCHNEIDER 2X25A 10MA,20711388,
13022,DISYUNTOR SCHNEIDER 2X25A ACTI-9 30MA,9259811,
13023,DISYUNTOR SCHNEIDER 2X40A ACTI-9 30MA,10149581,
2030,DISYUNTOR SCHNEIDER 2X40A SUP.INM.,30321700,
2011,DISYUNTOR SCHNEIDER 2X63A 30MA,18431997,
2032,DISYUNTOR SCHNEIDER 4X25A 30MA,13350879,
18000,DISYUNTOR SCHNEIDER 4X40A SUP.INM.,46300194,
2031,DISYUNTOR SCHNEIDER 4X63A 30MA,28236905,
18006,DISYUNTOR SCHNEIDER 4X63A SUP.INM.,73897549,
3292,DISYUNTOR SICA 2X25A,3832664,
4029,DISYUNTOR SICA 2X40A,4097219,
4030,DISYUNTOR SICA 4X40A,7519974,
4031,DISYUNTOR SICA 4X63A,8515879,
10025,DISYUNTOR TBCIN 2X25A,3682868,
4016,DIVISOR TV 2 VIAS,178709,
4017,DIVISOR TV 3 VIAS,201047,
EL60,DIVISOR TV 4 VIAS,245725,
DR12W,DRIVER 12W P/PANEL,186784,
DR18W,DRIVER 18W P/PANEL,250107,
DR24W,DRIVER 24W P/PANEL,300080,
DR48W,DRIVER 48W P/PANEL,890076,
DR6W,DRIVER 6W P/PANEL,322660,
DRE,DRIVER EMERGENCIA 6 A 18W,1266994,
ARIEL,EQUIPO ARIEL,450120,
10047,"EQUIPO DOBLE LED 1,2MTS C/TUBOS",1350118,
4002,EQUIPO SIMPLE LED 9W-18W C/TUBO,600039,
PS2000,ESTABILIZADOR POWERSAFE 2000VA 180/260V,9000101,
PX10,ESTABILIZADOR TENSION 1100 4 TOMAS,5250069,
EST4,ESTACA 1 LUZ P/PAR38,1490115,
EST1,ESTACA SOLAR CHICA,278072,
EST3,ESTACA SOLAR GRANDE ANTORCHA,2390113,
EST5,ESTACA SOLAR RGB 5W,2790018,
EST2,ESTACA SOLAR SENDERO PLATIL,1900063,
POPUP-B,ESTACION DE CARGA TELESCOPICA 3T + 2USB,11699490,
8002,ESTUFA CUARZO METALICA VERTICAL,3800005,
JUGO1,EXPRIMIDOR ELECTRICO JUGO1,2150049,
3081,"EXTRACTOR ILUMROS 4""",2790018,
3082,"EXTRACTOR ILUMROS 6""",3000074,
E100X50,EXTREMO P/CABLE CANAL 100X50 ZOLODA,312059,
F1,FANAL C/PUERTA 26CM,1681193,
F2,FANAL C/PUERTA 33CM,2129354,
F3,FANAL C/PUERTA 48CM,3201148,
F4,FANAL C/PUERTA 63CM,4801722,
F5,FANAL SIMPLE 17CM,1120399,
F6,FANAL SIMPLE 24CM,1451187,
F7,FANAL SIMPLE 36CM,2080743,
F8,FANAL SIMPLE 62CM,3169133,
FL1,FAROL CAMPING LED USB RECARGABLE,1400091,
13087,FAROL CHAPA DOBLE GRANDE P/CAÑO,7368421,
13086,FAROL CHAPA GRANDE PARED/CAÑO/COLGAR,4147677,
13085,FAROL CHAPA PARED/CAÑO/COLGAR,1450064,
13088,FAROL CHAPA RECTANGULAR PARED,1695453,
6112,"FAROLA ""GARDEN"" E27 30CM",3291200,
6006,FICHA 10A C/MANIJA,298847,
6004,FICHA 10A FRONTAL C/T,282073,
6003,FICHA 10A HEMBRA P/PLANCHA,120920,
6000,FICHA 10A MACHO VELADOR,155756,
6035,FICHA 10A SALIDA LATERAL C/T,235004,
1030,FICHA 20A C/MANIJA,380661,
16H3P,FICHA HEMBRA IND.16A 2P+T,3140555,
16H5P,FICHA HEMBRA IND.16A 3P+N+T,3857117,
16H4P,FICHA HEMBRA IND.16A 3P+T,3364526,
32H5P,FICHA HEMBRA IND.32A 3P+N+T,5025493,
32H4P,FICHA HEMBRA IND.32A 3P+T,4573679,
6016,FICHA IND.2X16A+T,855804,
6018,FICHA IND.3X16A+T,1112545,
6022,FICHA IND.3X32A+T,1742416,
16M3P,FICHA MACHO IND.16A 2P+T,1838958,
16M5P,FICHA MACHO IND.16A 3P+N+T,2785057,
16M4P,FICHA MACHO IND.16A 3P+T,2277704,
32M5P,FICHA MACHO IND.32A 3P+N+T,3812710,
32M4P,FICHA MACHO IND.32A 3P+T,3544211,
RJ11,FICHA RJ11,11580,
RJ45,FICHA RJ45,118580,
RJ9,FICHA RJ9,11580,
FT,FICHA TESTEO P/TOMA C/TIERRA CAMBRE,2559150,
2023,FLORONES,27830,
3316,FLOTANTE F2000 FIBOSA,1252350,
FE10,FOCOS C/SOPAPA LED P/ESPEJO,1660120,
6040,FOTOCONTROL 1000W TEXSALUX 3 CABLES,980100,
6041,FOTOCONTROL 1500W ANTHAY 4 CABLES,1000428,
6042,FOTOCONTROL C/ZOCALO 2200W TEXSALUX,1995048,
2021,FRENTE PORTERO COMMAX,5590079,
FM10A,FUENTE SWITCHING METALICA 12V 10A,2557463,
FM20A,FUENTE SWITCHING METALICA 12V 20A,3728680,
FM2A,FUENTE SWITCHING METALICA 12V 2A,1042345,
FM30A,FUENTE SWITCHING METALICA 12V 30A,4938716,
FM3A,FUENTE SWITCHING METALICA 12V 3A,1207366,
FM5A,FUENTE SWITCHING METALICA 12V 5A,1647718,
F10X38,FUSIBLE LENTO 10X38 HASTA 32A,203396,
6057,FUSIBLE NEOZED P/MORCETO,595199,
NH160,FUSIBLE NH T000 100A-125A-160A SASSIN,1197900,
NH80,FUSIBLE NH T000 HASTA 80A,746328,
G2001,GABINETE TABLEPLAST 242X232X140 (2001),5736477,
G2501,GABINETE TABLEPLAST 297X284X140 (2501),7856399,
7034,GANCHO P/VENTILADOR DE TECHO,200013,
7033,GANCHO SUSP.ALUMINIO,62860,
GB1018,GLOBO BURBUJA 10-18,1322618,
GB1225,GLOBO BURBUJA 12-25,2362316,
GB815,GLOBO BURBUJA 8-15,1039698,
GO610,GLOBO VIDRIO OPAL 6X10,1273216,
GO815,GLOBO VIDRIO OPAL 8X15,2027097,
GR20,GRAMPA FIJACION P/CAÑO 20MM,15972,
GR22,GRAMPA FIJACION P/CAÑO 22MM,17666,
GR25,GRAMPA FIJACION P/CAÑO 25MM,18876,
GR32,GRAMPA FIJACION P/CAÑO 32MM,27709,
3073,GRAMPAS N.10 VEYKA,322146,
7042,GRAMPAS N.11 VEYKA,363688,
7043,GRAMPAS N.12 VEYKA,420089,
7044,GRAMPAS N.15 VEYKA,402585,
7040,GRAMPAS N.5 VEYKA,390916,
7041,GRAMPAS N.8 VEYKA,443427,
7046,GRAMPAS N.9 VEYKA,291728,
3311,GUARDAMOTOR STECK 13-18A,8903809,
3312,GUARDAMOTOR STECK 17-23A,8903809,
8008,GUARDAMOTOR STECK 2.5-4A,8903809,
8009,GUARDAMOTOR STECK 4-6.3A,8903809,
8013,GUARDAMOTOR STECK 6-10A,8903809,
3310,GUARDAMOTOR STECK 9-14A,8903809,
10CON17,GUIRNALDA 10MTS 17LED,4959212,
10CON9,GUIRNALDA 10MTS 9LED,3063799,
15CON14,GUIRNALDA 15MTS 14LED,4729612,
15CON27,GUIRNALDA 15MTS 27LED,7754952,
20CON19,GUIRNALDA 20MTS 19LED,6127367,
20CON37,GUIRNALDA 20MTS 37LED,11871527,
5CON5,GUIRNALDA 5MTS 5LED,1761731,
5CON9,GUIRNALDA 5MTS 9LED,2776510,
8018,GUIRNALDA CABLE,78731,
8020,GUIRNALDA FICHA,110278,
8017,GUIRNALDA PORTALAMP C/LAMP,242502,
HP1,HORNITO CEMENTO CHICO,773688,
HP3,HORNITO CEMENTO GRANDE,974274,
HP2,HORNITO CEMENTO MEDIANO,830999,
HUMI4,HUMIDIFICADOR LAGRIMA SIMIL MADERA,1390048,
HUMI2,HUMIDIFICADOR LUNAR,1980044,
HUMI1,HUMIDIFICADOR PANDA,800052,
HUMI3,HUMIDIFICADOR REDONDO SIMIL MADERA,1390048,
3350,INTERLOOK GRABADOR/RADIO,500093,
12A,INTERRUPTOR 10A PALANCA VEFBEN 0-1,1490115,
SSX2,INTERRUPTOR SMART WIFI 10A 220V,2698905,
32301/0,INVERSORA EMB.32A MONOFASICA ELIBET,7674566,
32302/7,INVERSORA EXT.TRIPOLAR METALICA 32A,8027701,
J3,"JABALINA 1/2"" 1,5 MTS C/TOMACABLE",2243582,
J1,"JABALINA 3/8"" 0,6 MTS C/TOMACABLE",933110,
J2,"JABALINA 3/8"" 1,5 MTS C/TOMACABLE",1434894,
J4,"JABALINA 5/8"" 1,5 MTS C/TOMACABLE",2243582,
J5,"JABALINA 5/8"" 2 MTS C/TOMACABLE",3000074,
SH3,JABON LIQUIDO,296834,
3146,KIT BAJADA MONOF.7 MTS,5790092,
3148,KIT BAJADA TRIF.7 MTS,14988028,
16541,KIT BULBO SOLAR 15W,1690007,
3149,KIT CONEXION 6+6 9M C/MORCETOS Y FUSE,6610109,
OFF20W,LAMPARA ANTIBICHO 20W,176237,
OFF32W,LAMPARA ANTIBICHO 32W,268993,
ARBC,LAMPARA AR111 BAJO CONSUMO 18W,435724,
10038,LAMPARA AR111 LED CANDELA 12W,600039,
10092,LAMPARA AR111 LED GOODYEAR 12W,650012,
2040,LAMPARA AR111 LED GOODYEAR 15W,720071,
BC105W,LAMPARA BAJO CONSUMO 105W,1384163,
BC120W,LAMPARA BAJO CONSUMO 120W,1670882,
BC150W,LAMPARA BAJO CONSUMO 150W,1878501,
BC200W,LAMPARA BAJO CONSUMO 200W,2471713,
BC65W,LAMPARA BAJO CONSUMO 65W,879931,
BC85W,LAMPARA BAJO CONSUMO 85W,1077669,
BANK,LAMPARA BANQUERO TUL.VERDE,7751467,
10071,LAMPARA BAYONETA 15W,250107,
7070,LAMPARA BIPIN 12V X2 UNIDADES,300080,
3338,LAMPARA BIPIN LED G4 12V 3W,439109,
3800,LAMPARA C/MORZA METALICA,6858328,
118MM,LAMPARA CUARZO 118MM 200W/300W,490050,
255MM,LAMPARA CUARZO 255MM 1000W/1500W OSRAM,3462728,
4059,"LAMPARA DE ESCRITORIO ""4059""",1259303,
916,"LAMPARA DE ESCRITORIO ""TOTAL""",2508936,
914CR,LAMPARA DE ESCRITORIO CROMO,4831086,
111,LAMPARA DE ESCRITORIO ECO C/BASE,1590061,
222,LAMPARA DE ESCRITORIO ECO C/PINZA,1250051,
914,LAMPARA DE ESCRITORIO FLUO,3900072,
904,LAMPARA DE ESCRITORIO LACADA BCO/NG,3115987,
V56,LAMPARA DE ESCRITORIO NG TEXT,5099768,
908,LAMPARA DE ESCRITORIO PLATEADA C/MADERA,5303590,
912,LAMPARA DE ESCRITORIO PROYECTOR,4385498,
9023,LAMPARA DE ESCRITORIO STAR GU10,5356791,
2301,LAMPARA DE MESA ONDULADA C/PANTALLA,5088701,
LP15,LAMPARA DE PIE BASE MARMOL CHICA CROMO,22476503,
LPMAR,LAMPARA DE PIE BASE MARMOL PLATIL,29613645,
LP13,LAMPARA DE PIE BCA/NG,8667630,
LP28,LAMPARA DE PIE C/MESITA,19757228,
3700,LAMPARA DE PIE C/MOVIMIENTO,8710603,
LP5,LAMPARA DE PIE CROMADA C/PANTALLA,17656972,
LPE,LAMPARA DE PIE ESQUINERA LED 104CM,2980109,
MT-331,LAMPARA DE PIE FLEXIBLE VARIAS POSICIONE,4490068,
LP1,LAMPARA DE PIE HIERRO,7900090,
NORD3,LAMPARA DE PIE NORDICA,7980071,
2300,LAMPARA DE PIE ONDULADA C/PANTALLA,10116246,
PSAL,LAMPARA DE SAL ROCA,1997458,
GU10COLOR,LAMPARA DICRO COLOR LED GU10,490050,
GU50W,LAMPARA DICRO GU10 50W OSRAM/PHILIPS,95139,
16094,LAMPARA DICRO LED 12V 6W BTE,550325,
16093,LAMPARA DICRO LED DIMERIZABLE TBCIN 7W,390104,
10046,LAMPARA DICRO LED GU10,197434,
16090,LAMPARA DICRO LED OSRAM 6W 220V,387104,
16092,LAMPARA DICRO LED PHILIPS 12V 7W,583935,
16091,"LAMPARA DICRO LED PHILIPS 5,4W DIMMER",583935,
GU10RGB,LAMPARA DICROLED RGB GU10 SMART,1638369,
D36W,LAMPARA DULUX 36W 4 PIN OSRAM,1249169,
10072,LAMPARA E12 7/10/15W,112363,
DUAL,"LAMPARA ESCRITORIO ""DUAL"" MORZA Y BASE",2590005,
BASEECO,LAMPARA ESCRITORIO C/BASE ECO,1490115,
BASEUSB,LAMPARA ESCRITORIO C/BASE USB,3190044,
LUPA,LAMPARA ESCRITORIO C/LUPA Y MORZA,4697765,
MORZA,LAMPARA ESCRITORIO C/MORZA,2981653,
LE1,LAMPARA ESCRITORIO CAÑO METALICO,3446952,
3500,LAMPARA ESCRITORIO DOBLE BRAZO,5985578,
4911,LAMPARA ESCRITORIO NIQUEL 1XG9,3390057,
8040,LAMPARA EXTENSIBLE PARED CAPOB,6488630,
FUEGO,LAMPARA FUEGO 3 EFECTOS,816238,
3339,LAMPARA G9 12W LED CANDELA,590117,
3341,LAMPARA G9 BIPIN LED 6W,390104,
10036,LAMPARA GIRATORIA DOBLE RGB,550066,
10039,LAMPARA GIRATORIA RGB,350053,
10107,LAMPARA GOTA COLOR LED,240064,
10022,LAMPARA GOTA LED E27/E14,250107,
10062,LAMPARA GROW LED PAR38 18W,2390113,
10035,LAMPARA GU10 DICROLED 6/7W,197434,
LFH,LAMPARA HALOGENA HONGO/VELITA/VELA BALON,145306,
10125,LAMPARA INFRARROJA 150W,1980044,
10063,LAMPARA INFRARROJA 250W,1980044,
10104,LAMPARA LED 100W E40,2590005,
PH10,LAMPARA LED 10W PHILIPS,210056,
8011,LAMPARA LED 12V E27,798116,
10031,LAMPARA LED 12W,163280,
PH12,LAMPARA LED 12W PHILIPS,252067,
10032,LAMPARA LED 15W,193400,
PH16,LAMPARA LED 16W PHILIPS,308139,
10101,LAMPARA LED 20W,305041,
3EN1,LAMPARA LED 3 EN 1 (FRIO/NEUTRO/CALIDO),294612,
10102,LAMPARA LED 30W,480007,
10023,LAMPARA LED 40W,590117,
10106,LAMPARA LED 50W,780087,
10085,LAMPARA LED 7W,131138,
8010,LAMPARA LED 9/10W,131138,
A95OFF,LAMPARA LED ANTIMOSQUITO 18W,890076,
8023,LAMPARA LED AUTONOMA 9W,1230086,
LEDFO,LAMPARA LED C/FOTOCONTROL,998008,
3381,LAMPARA LED C/SENSOR MOV.,890076,
10109,LAMPARA LED COLOR 5W E27,290037,
HC868,LAMPARA LED COLORFUL EYES,1450064,
6051,LAMPARA LED FUTBOL/FLOR,948287,
GO120,LAMPARA LED GLOBO OPAL 12W,550066,
2007,LAMPARA LED REEMPLAZO CUARZO 118MM,1250051,
2006,LAMPARA LED REEMPLAZO CUARZO 78MM,1250051,
LL04,LAMPARA LED REGULABLE 3 TONOS CALENDARIO,7490021,
LL02,LAMPARA LED REGULABLE C/BASE RGB,4900016,
LL01,LAMPARA LED REGULABLE C/RELOJ Y LAPICERO,4900016,
10108,LAMPARA MERCURIO HALOG.250W,2550075,
10105,LAMPARA MERCURIO HALOG.70W,795490,
MT-305,LAMPARA MORZA LED 3 TONOS USB,2500102,
PAR30,LAMPARA PAR30 E27 75W OSRAM/PHILIPS,146876,
7071,LAMPARA PAR38 LED 12W VERDE/AZUL,2980109,
6059,LAMPARA PERFUME LED 2W,340010,
10070,LAMPARA PERFUME/BABYLUZ 5/15/25W,125114,
P-7019,LAMPARA PINZA LED USB,980100,
P4105,LAMPARA PLASMA MAGIC BALL,1500519,
SMART,LAMPARA SMART LED RGB 9W,1350118,
10137,LAMPARA SODIO 250W,962877,
LT1,LAMPARA TURCA 1,4131827,
LT2,LAMPARA TURCA 2,7128257,
LT3,LAMPARA TURCA 3,7878603,
LT4,LAMPARA TURCA 4,10879978,
LT5,LAMPARA TURCA 5,11630315,
10090,LAMPARA VELITA LED E14/E27,250107,
G125,LAMPARA VINTAGE GLOBO G125 CARBONO 24W,1590061,
G80,LAMPARA VINTAGE GLOBO G80 CARBONO 24W,614680,
G95,LAMPARA VINTAGE GLOBO G95 LED 6W,590117,
G45,LAMPARA VINTAGE GOTA G45 2W,290037,
ST64,LAMPARA VINTAGE PERA ST64 CARBONO 24W,640909,
ST64L,LAMPARA VINTAGE PERA ST64 LED 6W,790009,
A60,LAMPARA VINTAGE STD A60 LED 7W,349515,
T30,LAMPARA VINTAGE TUBULAR T30 CARBONO 24W,845116,
BOOK,LINTERNA BOOK ENERGIZER,3335008,
CH-2018,LINTERNA CABEZAL LED COB 3W,430694,
2043,LINTERNA EVEREADY C/PILA D INCLUIDA,1190035,
10041,LINTERNA EVEREADY C/PILAS 65 LUMENES,805980,
LY8810,LINTERNA LED RECARGABLE DOBLE FUNCION,890076,
LM80,LINTERNA METALICA ENERGIZER 80 LUMENES,1386376,
A08,LINTERNA MILITAR A08,980100,
LC300,LINTERNA MINERA ENERGIZER 300 LUMENES,2978506,
PEN,LINTERNA PEN ENERGIZER,1396719,
LRR320,LINTERNA RAYOBAK METAL RECARGABLE 320LM,2518615,
8029,LINTERNA SOLAR 3 MODOS,1900063,
ZW50W,LINTERNA SOLAR CAMPING 50W,890076,
LA21,LISTON 21W ALUMINIO ORIENTABLE,2421721,
7003,"LISTON ESTANCO P/2 TUBOS LED 1,2 MTS",2390113,
8012,"LISTON VACIO DOBLE P/LED 1,2MTS",674409,
16089,LISTON VACIO SIMPLE P/LED 60-120CM,495383,
C1208,LLAVE BIPOLAR 20A EXT.TAAD,161336,
303T,LLAVE ELIBET 303T INTERRUPTOR,2334810,
P2,LLAVE ESTUFA DOBLE,390104,
P3,LLAVE ESTUFA PUNTO MEDIO,300080,
P1,LLAVE ESTUFA SIMPLE,300080,
8046,LLAVE FIBOSA 602,3429834,
8045,LLAVE FIBOSA 603,3429834,
S9200,LLAVE P/BASTIDOR 20A TAAD,387580,
108CP,LLAVE P/CORTINA Y PORTONES 16A,8610329,
P4,LLAVE PALANCA 10A 2 CONTACTOS,490050,
P10,LLAVE PALANCA 10A 3 CONTACTOS,490050,
P5,LLAVE PALANCA 10A 4 CONTACTOS,490050,
P7,LLAVE TECLA CIRCULAR,300080,
P6,LLAVE TECLA MINI PUNTO MEDIO,300080,
PILE,LUMINARIA PILETA RGB USB,1859967,
CUCO,LUZ DE NOCHE ESPANTA-CUCO,390104,
TOQUE,LUZ DE TOQUE EVEREADY,1127115,
EE1,LUZ EMERGENCIA 30 LEDS CANDELA,1115136,
EE2,LUZ EMERGENCIA 60 LEDS CANDELA,1750023,
EE3,LUZ EMERGENCIA 60 LEDS SICA,2490059,
EE4,LUZ EMERGENCIA 90 LEDS GAMASONIC,4567750,
7053,LUZ NAVIDAD ARROZ X 100,387308,
7054,LUZ NAVIDAD LED FRIA/CALIDA/COLOR X 100,580377,
BICI,LUZ PARA BICIS,190091,
PLANT,MACETA ROBERT PLANT,155270,
SH25,MACETERO/ESPONJERO C/FORMAS,685937,
3254,MANGUERA LED X 10 MTS,2890085,
16042,"MANGUITO 1,5 MM",38670,
16046,MANGUITO 10 MM,109137,
16047,MANGUITO 16 MM,141792,
16043,"MANGUITO 2,5 MM",41249,
16044,MANGUITO 4 MM,54998,
16045,MANGUITO 6 MM,58435,
M120X30,MARCO ALUMINIO P/PANEL LED 120X30CM,4350071,
M60X60,MARCO ALUMINIO P/PANEL LED 60X60CM,3360049,
WA-1200,MEDIDOR DE CONSUMO MONO 65A C/RESET,4895055,
DM-100SC,MEDIDOR MONOF.ELECTRONICO P/DIN 10/60A,4880066,
2779A,MICROFONO INALAMBRICO SUONO 2779A,1890020,
SW585,MICROFONO KARAOKE,792183,
HB01,MINI PIMER 2 VELOCIDADES,2733474,
12010,MORCETO BAJADA NEUTRO,570031,
12011,MORCETO BAJADA P/FUSIBLE,1073875,
MONO,MUÑECO AMAPOLA MONO SALTARIN,863942,
8031,OJO DE BUEY 22MM 220V,498762,
120X30,PANEL LED 120X30CM EMBUTIR 48W,6224361,
EXT12W,PANEL LED 12W APLICAR,588786,
EMB12W,PANEL LED 12W EMBUTIR,486904,
EXT18W,PANEL LED 18W APLICAR,745118,
EMB18W,PANEL LED 18W EMBUTIR,643599,
EXT24W,PANEL LED 24W APLICAR,1390048,
EXT24WCHICO,"PANEL LED 24W APLICAR ""CHICO""",1291675,
EMB24W,PANEL LED 24W EMBUTIR,1164867,
24WOSRAM,PANEL LED 24W OSRAM DUAL,3814506,
60X60,PANEL LED 60X60CM EMBUTIR 40W,2790018,
EXT6W,PANEL LED 6W APLICAR,429792,
EMB6W,PANEL LED 6W EMBUTIR,365420,
PC18W,PANEL LED COLOR INTERCAMBIABLE 18W,1855692,
GRIS18W,PANEL LED GRIS 18W APLICAR,1200078,
NG18W,PANEL LED NEGRO 18W APLICAR,1200078,
NG24W,PANEL LED NEGRO 24W APLICAR,1590061,
ECO6,PANTALLA ECOCUERO CIRCULAR 30CM,2010753,
ECO7,PANTALLA ECOCUERO CIRCULAR 35CM,2337500,
ECO8,PANTALLA ECOCUERO CIRCULAR 40CM,2639113,
ECO1,PANTALLA ECOCUERO CONICA 22CM,774400,
ECO2,PANTALLA ECOCUERO CONICA 25CM,853079,
ECO3,PANTALLA ECOCUERO CONICA 30CM,1084160,
ECO4,PANTALLA ECOCUERO CONICA 35CM,1490720,
ECO5,PANTALLA ECOCUERO CONICA 40CM,1819840,
POF,PANTALLA OFERTA 22CM CONICA COCIDA,522720,
PVC1,PANTALLA PVC CONICA 22CM,522720,
PVC2,PANTALLA PVC CONICA 25CM,580800,
PVC3,PANTALLA PVC CONICA 30CM,774400,
PVC4,PANTALLA PVC CONICA 35CM,968000,
PVC5,PANTALLA PVC CONICA 40CM,1184832,
CALA1,PANTALLA TELA CALA CHICA,1900063,
CALA2,PANTALLA TELA CALA GRANDE,2500223,
TELA6,PANTALLA TELA CIRCULAR 15CM,1163048,
TELA7,PANTALLA TELA CIRCULAR 20CM,1460107,
TELA8,PANTALLA TELA CIRCULAR 22CM,1624510,
TELA9,PANTALLA TELA CIRCULAR 30CM,2421630,
TELA10,PANTALLA TELA CIRCULAR 35CM,2800061,
TELA11,PANTALLA TELA CIRCULAR 40CM,3855038,
TELA1,PANTALLA TELA CONICA 20CM,1163048,
TELA2,PANTALLA TELA CONICA 25CM,1633492,
TELA3,PANTALLA TELA CONICA 30CM,1816439,
TELA4,PANTALLA TELA CONICA 35CM,2208485,
TELA5,PANTALLA TELA CONICA 40CM,3253907,
PV01,PAVA ELECTRICA ORIX,2103363,
PEG5,PEGAMENTO ECCOLE,708691,
PEG8,PEGAMENTO EL PULPITO,717736,
PEG7,PEGAMENTO FASTIX,821402,
PEG1,PEGAMENTO LA GOTITA,254923,
PEG2,PEGAMENTO LA GOTITA GEL,319906,
PEG4,PEGAMENTO POXI-RAM,541989,
PEG3,PEGAMENTO POXILINA,778683,
PEG6,PEGAMENTO POXIPOL,780353,
P2P,PEINE 1 METRO BIP.54P 400V CHINT,5113944,
7075,PEINE DIN BIFASICO 2X6 80A,2533520,
P-AL-3M,PERFIL ALUMINIO 3 MTS C/DIFUSOR,1900063,
5999,PERILLA TORPEDO,275062,
PERI,PERISCOPIO P/PISO ZOLODA,2075029,
SH10,PERLITAS AROMATICAS,199348,
123,PILA 123 ENERGIZER,862591,
2016/25/32,PILA 2016-2025-2032 ENERGIZER,218558,
317,PILA 317,316653,
377/76/64/63,PILA 377/376 O 364/363 ENERGIZER,215683,
A23,PILA A23 ENERGIZER,230015,
A27,PILA A27 ENERGIZER,345092,
A544,PILA A544 ENERGIZER,848815,
A76,PILA A76 ENERGIZER,138176,
AA,PILA AA ENERGIZER,140118,
AAA,PILA AAA ENERGIZER,140118,
AUDIX8,PILA AUDIFONO ENERGIZER X8,1391500,
AUDIX6,PILA AUDIFONO RAYOBAK X6,1207544,
C,PILA C ENERGIZER,538511,
CR1220,PILA CR1220,224538,
1620,PILA CR1620,345092,
D,PILA D ENERGIZER,720071,
18650,PILA RECARGABLE 18650,500093,
NOGA,PILA RECARGABLE AA/AAA X2 ECO,623344,
REC,PILA RECARGABLE ENERGIZER X2 UNIDADES,2633553,
8036,PINZA AMPEROMETRICA DIGITAL,2115080,
2054,"PIPETA PVC 1""",123821,
2052,"PIPETA PVC 3/4""",68126,
2053,"PIPETA PVC 7/8""",95932,
3012,PISO CANAL 48X13 C/AD,1309825,
3014,PISO CANAL 75X17 C/AD,2381159,
P282,"PLAFON ""BILBAO"" 25X43 2XE27",2405310,
P281,"PLAFON ""BILBAO"" 30X30 2XE27",2405310,
12306,"PLAFON ""DUGI"" REDONDO 37CM 2XE27",3900072,
12309,"PLAFON ""HYDRA"" CUADRADO 40CM 2XE27",4500111,
P103,"PLAFON ""LENTEJA"" 29CM BASE PVC",955911,
12301,"PLAFON ""LIPARI"" CUADRADO 30CM 2XE27",2900007,
12300,"PLAFON ""LIPARI"" CUADRADO 40CM 3XE27",3900072,
P201,"PLAFON ""PATITAS"" 30CM",2405310,
12303,"PLAFON ""SYMI"" CUADRADO 30CM 1XE27",2900007,
12304,"PLAFON ""SYMI"" REDONDO 41CM 2XE27",3900072,
P285,PLAFON BARCELONA 24X24 GRIS/NG,1559706,
P286,PLAFON BARCELONA 31X31,2015151,
P120,PLAFON BARI 20X20,1268799,
P214,PLAFON BARI 25X25,2015151,
P224,PLAFON BARI 30X30,2522671,
7612,PLAFON CIELO LACADO 1 LUZ CHICO,1270754,
